시도,자치구,동,설명,가격,서브정보,이미지수
서울특별시,강남구,개포동,조용한 주택가의 리모델링한 풀옵션 가성비 최강의 깨끗한 2층 원룸,"전세 1억 1,000만원","31 / 25㎡방1개, 욕실수1개2층 / 5층남서향",1
서울특별시,강남구,개포동,개포4동 다가구29㎡월세  풀옵션 원룸  아주깔끔하고 저렴한 임대,"월세 1,000만원 /  70만원","29 / 17㎡방1개, 욕실수1개2층 / 5층북향",9
서울특별시,강남구,개포동,"포이사거리 인근 신축급 내부공간 넓고 주차 가능 풀옵션 원룸,즉시입주가","월세 1,000만원 /  80만원","41 / 24㎡방1개, 욕실수1개4층 / 6층남서향",5
서울특별시,강남구,개포동,수리잘된분형원룸 반지하이지만넓고 나름대로밝음 교통위치좋고 LH대출가능,"전세 1억 2,000만원","35 / 27㎡방1개, 욕실수1개지하1층 / 4층동향",0
서울특별시,강남구,개포동,"반전세가,분리형 풀옵션 원룸","전세 1억 7,000만원","33 / 30㎡방1개, 욕실수1개2층 / 3층남동향",5
서울특별시,강남구,개포동,시세대비 저렴한 귀한 분리형 원룸,"월세 1,000만원 /  55만원","34 / 28㎡방1개, 욕실수1개2층 / 3층북향",3
서울특별시,강남구,논현동,조용한 주택가의 리모델링한 풀옵션 가성비 최강의 깨끗한 2층 원룸,"전세 1억 1,000만원","31 / 25㎡방1개, 욕실수1개2층 / 5층남서향",1
서울특별시,강남구,논현동,개포4동 다가구29㎡월세  풀옵션 원룸  아주깔끔하고 저렴한 임대,"월세 1,000만원 /  70만원","29 / 17㎡방1개, 욕실수1개2층 / 5층북향",9
서울특별시,강남구,논현동,"포이사거리 인근 신축급 내부공간 넓고 주차 가능 풀옵션 원룸,즉시입주가","월세 1,000만원 /  80만원","41 / 24㎡방1개, 욕실수1개4층 / 6층남서향",5
서울특별시,강남구,논현동,수리잘된분형원룸 반지하이지만넓고 나름대로밝음 교통위치좋고 LH대출가능,"전세 1억 2,000만원","35 / 27㎡방1개, 욕실수1개지하1층 / 4층동향",0
서울특별시,강남구,논현동,"반전세가,분리형 풀옵션 원룸","전세 1억 7,000만원","33 / 30㎡방1개, 욕실수1개2층 / 3층남동향",5
서울특별시,강남구,논현동,시세대비 저렴한 귀한 분리형 원룸,"월세 1,000만원 /  55만원","34 / 28㎡방1개, 욕실수1개2층 / 3층북향",3
서울특별시,강남구,대치동,조용한 주택가의 리모델링한 풀옵션 가성비 최강의 깨끗한 2층 원룸,"전세 1억 1,000만원","31 / 25㎡방1개, 욕실수1개2층 / 5층남서향",1
서울특별시,강남구,대치동,개포4동 다가구29㎡월세  풀옵션 원룸  아주깔끔하고 저렴한 임대,"월세 1,000만원 /  70만원","29 / 17㎡방1개, 욕실수1개2층 / 5층북향",9
서울특별시,강남구,대치동,"포이사거리 인근 신축급 내부공간 넓고 주차 가능 풀옵션 원룸,즉시입주가","월세 1,000만원 /  80만원","41 / 24㎡방1개, 욕실수1개4층 / 6층남서향",5
서울특별시,강남구,대치동,수리잘된분형원룸 반지하이지만넓고 나름대로밝음 교통위치좋고 LH대출가능,"전세 1억 2,000만원","35 / 27㎡방1개, 욕실수1개지하1층 / 4층동향",0
서울특별시,강남구,대치동,"반전세가,분리형 풀옵션 원룸","전세 1억 7,000만원","33 / 30㎡방1개, 욕실수1개2층 / 3층남동향",5
서울특별시,강남구,대치동,시세대비 저렴한 귀한 분리형 원룸,"월세 1,000만원 /  55만원","34 / 28㎡방1개, 욕실수1개2층 / 3층북향",3
서울특별시,강남구,도곡동,조용한 주택가의 리모델링한 풀옵션 가성비 최강의 깨끗한 2층 원룸,"전세 1억 1,000만원","31 / 25㎡방1개, 욕실수1개2층 / 5층남서향",1
서울특별시,강남구,도곡동,개포4동 다가구29㎡월세  풀옵션 원룸  아주깔끔하고 저렴한 임대,"월세 1,000만원 /  70만원","29 / 17㎡방1개, 욕실수1개2층 / 5층북향",9
서울특별시,강남구,도곡동,"포이사거리 인근 신축급 내부공간 넓고 주차 가능 풀옵션 원룸,즉시입주가","월세 1,000만원 /  80만원","41 / 24㎡방1개, 욕실수1개4층 / 6층남서향",5
서울특별시,강남구,도곡동,수리잘된분형원룸 반지하이지만넓고 나름대로밝음 교통위치좋고 LH대출가능,"전세 1억 2,000만원","35 / 27㎡방1개, 욕실수1개지하1층 / 4층동향",0
서울특별시,강남구,도곡동,"반전세가,분리형 풀옵션 원룸","전세 1억 7,000만원","33 / 30㎡방1개, 욕실수1개2층 / 3층남동향",5
서울특별시,강남구,도곡동,시세대비 저렴한 귀한 분리형 원룸,"월세 1,000만원 /  55만원","34 / 28㎡방1개, 욕실수1개2층 / 3층북향",3
서울특별시,강남구,삼성동,조용한 주택가의 리모델링한 풀옵션 가성비 최강의 깨끗한 2층 원룸,"전세 1억 1,000만원","31 / 25㎡방1개, 욕실수1개2층 / 5층남서향",1
서울특별시,강남구,삼성동,개포4동 다가구29㎡월세  풀옵션 원룸  아주깔끔하고 저렴한 임대,"월세 1,000만원 /  70만원","29 / 17㎡방1개, 욕실수1개2층 / 5층북향",9
서울특별시,강남구,삼성동,"포이사거리 인근 신축급 내부공간 넓고 주차 가능 풀옵션 원룸,즉시입주가","월세 1,000만원 /  80만원","41 / 24㎡방1개, 욕실수1개4층 / 6층남서향",5
서울특별시,강남구,삼성동,수리잘된분형원룸 반지하이지만넓고 나름대로밝음 교통위치좋고 LH대출가능,"전세 1억 2,000만원","35 / 27㎡방1개, 욕실수1개지하1층 / 4층동향",0
서울특별시,강남구,삼성동,"반전세가,분리형 풀옵션 원룸","전세 1억 7,000만원","33 / 30㎡방1개, 욕실수1개2층 / 3층남동향",5
서울특별시,강남구,삼성동,시세대비 저렴한 귀한 분리형 원룸,"월세 1,000만원 /  55만원","34 / 28㎡방1개, 욕실수1개2층 / 3층북향",3
서울특별시,강남구,세곡동,조용한 주택가의 리모델링한 풀옵션 가성비 최강의 깨끗한 2층 원룸,"전세 1억 1,000만원","31 / 25㎡방1개, 욕실수1개2층 / 5층남서향",1
서울특별시,강남구,세곡동,개포4동 다가구29㎡월세  풀옵션 원룸  아주깔끔하고 저렴한 임대,"월세 1,000만원 /  70만원","29 / 17㎡방1개, 욕실수1개2층 / 5층북향",9
서울특별시,강남구,세곡동,"포이사거리 인근 신축급 내부공간 넓고 주차 가능 풀옵션 원룸,즉시입주가","월세 1,000만원 /  80만원","41 / 24㎡방1개, 욕실수1개4층 / 6층남서향",5
서울특별시,강남구,세곡동,수리잘된분형원룸 반지하이지만넓고 나름대로밝음 교통위치좋고 LH대출가능,"전세 1억 2,000만원","35 / 27㎡방1개, 욕실수1개지하1층 / 4층동향",0
서울특별시,강남구,세곡동,"반전세가,분리형 풀옵션 원룸","전세 1억 7,000만원","33 / 30㎡방1개, 욕실수1개2층 / 3층남동향",5
서울특별시,강남구,세곡동,시세대비 저렴한 귀한 분리형 원룸,"월세 1,000만원 /  55만원","34 / 28㎡방1개, 욕실수1개2층 / 3층북향",3
서울특별시,강남구,수서동,조용한 주택가의 리모델링한 풀옵션 가성비 최강의 깨끗한 2층 원룸,"전세 1억 1,000만원","31 / 25㎡방1개, 욕실수1개2층 / 5층남서향",1
서울특별시,강남구,수서동,개포4동 다가구29㎡월세  풀옵션 원룸  아주깔끔하고 저렴한 임대,"월세 1,000만원 /  70만원","29 / 17㎡방1개, 욕실수1개2층 / 5층북향",9
서울특별시,강남구,수서동,"포이사거리 인근 신축급 내부공간 넓고 주차 가능 풀옵션 원룸,즉시입주가","월세 1,000만원 /  80만원","41 / 24㎡방1개, 욕실수1개4층 / 6층남서향",5
서울특별시,강남구,수서동,수리잘된분형원룸 반지하이지만넓고 나름대로밝음 교통위치좋고 LH대출가능,"전세 1억 2,000만원","35 / 27㎡방1개, 욕실수1개지하1층 / 4층동향",0
서울특별시,강남구,수서동,"반전세가,분리형 풀옵션 원룸","전세 1억 7,000만원","33 / 30㎡방1개, 욕실수1개2층 / 3층남동향",5
서울특별시,강남구,수서동,시세대비 저렴한 귀한 분리형 원룸,"월세 1,000만원 /  55만원","34 / 28㎡방1개, 욕실수1개2층 / 3층북향",3
서울특별시,강남구,신사동,조용한 주택가의 리모델링한 풀옵션 가성비 최강의 깨끗한 2층 원룸,"전세 1억 1,000만원","31 / 25㎡방1개, 욕실수1개2층 / 5층남서향",1
서울특별시,강남구,신사동,개포4동 다가구29㎡월세  풀옵션 원룸  아주깔끔하고 저렴한 임대,"월세 1,000만원 /  70만원","29 / 17㎡방1개, 욕실수1개2층 / 5층북향",9
서울특별시,강남구,신사동,"포이사거리 인근 신축급 내부공간 넓고 주차 가능 풀옵션 원룸,즉시입주가","월세 1,000만원 /  80만원","41 / 24㎡방1개, 욕실수1개4층 / 6층남서향",5
서울특별시,강남구,신사동,수리잘된분형원룸 반지하이지만넓고 나름대로밝음 교통위치좋고 LH대출가능,"전세 1억 2,000만원","35 / 27㎡방1개, 욕실수1개지하1층 / 4층동향",0
서울특별시,강남구,신사동,"반전세가,분리형 풀옵션 원룸","전세 1억 7,000만원","33 / 30㎡방1개, 욕실수1개2층 / 3층남동향",5
서울특별시,강남구,신사동,시세대비 저렴한 귀한 분리형 원룸,"월세 1,000만원 /  55만원","34 / 28㎡방1개, 욕실수1개2층 / 3층북향",3
서울특별시,강남구,압구정동,조용한 주택가의 리모델링한 풀옵션 가성비 최강의 깨끗한 2층 원룸,"전세 1억 1,000만원","31 / 25㎡방1개, 욕실수1개2층 / 5층남서향",1
서울특별시,강남구,압구정동,개포4동 다가구29㎡월세  풀옵션 원룸  아주깔끔하고 저렴한 임대,"월세 1,000만원 /  70만원","29 / 17㎡방1개, 욕실수1개2층 / 5층북향",9
서울특별시,강남구,압구정동,"포이사거리 인근 신축급 내부공간 넓고 주차 가능 풀옵션 원룸,즉시입주가","월세 1,000만원 /  80만원","41 / 24㎡방1개, 욕실수1개4층 / 6층남서향",5
서울특별시,강남구,압구정동,수리잘된분형원룸 반지하이지만넓고 나름대로밝음 교통위치좋고 LH대출가능,"전세 1억 2,000만원","35 / 27㎡방1개, 욕실수1개지하1층 / 4층동향",0
서울특별시,강남구,압구정동,"반전세가,분리형 풀옵션 원룸","전세 1억 7,000만원","33 / 30㎡방1개, 욕실수1개2층 / 3층남동향",5
서울특별시,강남구,압구정동,시세대비 저렴한 귀한 분리형 원룸,"월세 1,000만원 /  55만원","34 / 28㎡방1개, 욕실수1개2층 / 3층북향",3
서울특별시,강남구,역삼동,조용한 주택가의 리모델링한 풀옵션 가성비 최강의 깨끗한 2층 원룸,"전세 1억 1,000만원","31 / 25㎡방1개, 욕실수1개2층 / 5층남서향",1
서울특별시,강남구,역삼동,개포4동 다가구29㎡월세  풀옵션 원룸  아주깔끔하고 저렴한 임대,"월세 1,000만원 /  70만원","29 / 17㎡방1개, 욕실수1개2층 / 5층북향",9
서울특별시,강남구,역삼동,"포이사거리 인근 신축급 내부공간 넓고 주차 가능 풀옵션 원룸,즉시입주가","월세 1,000만원 /  80만원","41 / 24㎡방1개, 욕실수1개4층 / 6층남서향",5
서울특별시,강남구,역삼동,수리잘된분형원룸 반지하이지만넓고 나름대로밝음 교통위치좋고 LH대출가능,"전세 1억 2,000만원","35 / 27㎡방1개, 욕실수1개지하1층 / 4층동향",0
서울특별시,강남구,역삼동,"반전세가,분리형 풀옵션 원룸","전세 1억 7,000만원","33 / 30㎡방1개, 욕실수1개2층 / 3층남동향",5
서울특별시,강남구,역삼동,시세대비 저렴한 귀한 분리형 원룸,"월세 1,000만원 /  55만원","34 / 28㎡방1개, 욕실수1개2층 / 3층북향",3
서울특별시,강남구,율현동,조용한 주택가의 리모델링한 풀옵션 가성비 최강의 깨끗한 2층 원룸,"전세 1억 1,000만원","31 / 25㎡방1개, 욕실수1개2층 / 5층남서향",1
서울특별시,강남구,율현동,개포4동 다가구29㎡월세  풀옵션 원룸  아주깔끔하고 저렴한 임대,"월세 1,000만원 /  70만원","29 / 17㎡방1개, 욕실수1개2층 / 5층북향",9
서울특별시,강남구,율현동,"포이사거리 인근 신축급 내부공간 넓고 주차 가능 풀옵션 원룸,즉시입주가","월세 1,000만원 /  80만원","41 / 24㎡방1개, 욕실수1개4층 / 6층남서향",5
서울특별시,강남구,율현동,수리잘된분형원룸 반지하이지만넓고 나름대로밝음 교통위치좋고 LH대출가능,"전세 1억 2,000만원","35 / 27㎡방1개, 욕실수1개지하1층 / 4층동향",0
서울특별시,강남구,율현동,"반전세가,분리형 풀옵션 원룸","전세 1억 7,000만원","33 / 30㎡방1개, 욕실수1개2층 / 3층남동향",5
서울특별시,강남구,율현동,시세대비 저렴한 귀한 분리형 원룸,"월세 1,000만원 /  55만원","34 / 28㎡방1개, 욕실수1개2층 / 3층북향",3
서울특별시,강남구,일원동,조용한 주택가의 리모델링한 풀옵션 가성비 최강의 깨끗한 2층 원룸,"전세 1억 1,000만원","31 / 25㎡방1개, 욕실수1개2층 / 5층남서향",1
서울특별시,강남구,일원동,개포4동 다가구29㎡월세  풀옵션 원룸  아주깔끔하고 저렴한 임대,"월세 1,000만원 /  70만원","29 / 17㎡방1개, 욕실수1개2층 / 5층북향",9
서울특별시,강남구,일원동,"포이사거리 인근 신축급 내부공간 넓고 주차 가능 풀옵션 원룸,즉시입주가","월세 1,000만원 /  80만원","41 / 24㎡방1개, 욕실수1개4층 / 6층남서향",5
서울특별시,강남구,일원동,수리잘된분형원룸 반지하이지만넓고 나름대로밝음 교통위치좋고 LH대출가능,"전세 1억 2,000만원","35 / 27㎡방1개, 욕실수1개지하1층 / 4층동향",0
서울특별시,강남구,일원동,"반전세가,분리형 풀옵션 원룸","전세 1억 7,000만원","33 / 30㎡방1개, 욕실수1개2층 / 3층남동향",5
서울특별시,강남구,일원동,시세대비 저렴한 귀한 분리형 원룸,"월세 1,000만원 /  55만원","34 / 28㎡방1개, 욕실수1개2층 / 3층북향",3
서울특별시,강남구,자곡동,조용한 주택가의 리모델링한 풀옵션 가성비 최강의 깨끗한 2층 원룸,"전세 1억 1,000만원","31 / 25㎡방1개, 욕실수1개2층 / 5층남서향",1
서울특별시,강남구,자곡동,개포4동 다가구29㎡월세  풀옵션 원룸  아주깔끔하고 저렴한 임대,"월세 1,000만원 /  70만원","29 / 17㎡방1개, 욕실수1개2층 / 5층북향",9
서울특별시,강남구,자곡동,"포이사거리 인근 신축급 내부공간 넓고 주차 가능 풀옵션 원룸,즉시입주가","월세 1,000만원 /  80만원","41 / 24㎡방1개, 욕실수1개4층 / 6층남서향",5
서울특별시,강남구,자곡동,수리잘된분형원룸 반지하이지만넓고 나름대로밝음 교통위치좋고 LH대출가능,"전세 1억 2,000만원","35 / 27㎡방1개, 욕실수1개지하1층 / 4층동향",0
서울특별시,강남구,자곡동,"반전세가,분리형 풀옵션 원룸","전세 1억 7,000만원","33 / 30㎡방1개, 욕실수1개2층 / 3층남동향",5
서울특별시,강남구,자곡동,시세대비 저렴한 귀한 분리형 원룸,"월세 1,000만원 /  55만원","34 / 28㎡방1개, 욕실수1개2층 / 3층북향",3
서울특별시,강남구,청담동,조용한 주택가의 리모델링한 풀옵션 가성비 최강의 깨끗한 2층 원룸,"전세 1억 1,000만원","31 / 25㎡방1개, 욕실수1개2층 / 5층남서향",1
서울특별시,강남구,청담동,개포4동 다가구29㎡월세  풀옵션 원룸  아주깔끔하고 저렴한 임대,"월세 1,000만원 /  70만원","29 / 17㎡방1개, 욕실수1개2층 / 5층북향",9
서울특별시,강남구,청담동,"포이사거리 인근 신축급 내부공간 넓고 주차 가능 풀옵션 원룸,즉시입주가","월세 1,000만원 /  80만원","41 / 24㎡방1개, 욕실수1개4층 / 6층남서향",5
서울특별시,강남구,청담동,수리잘된분형원룸 반지하이지만넓고 나름대로밝음 교통위치좋고 LH대출가능,"전세 1억 2,000만원","35 / 27㎡방1개, 욕실수1개지하1층 / 4층동향",0
서울특별시,강남구,청담동,"반전세가,분리형 풀옵션 원룸","전세 1억 7,000만원","33 / 30㎡방1개, 욕실수1개2층 / 3층남동향",5
서울특별시,강남구,청담동,시세대비 저렴한 귀한 분리형 원룸,"월세 1,000만원 /  55만원","34 / 28㎡방1개, 욕실수1개2층 / 3층북향",3
